Время,Координата,Плотность,Сера
266.934,22.2222,0,0
266.934,44.4444,0,0
266.934,66.6667,0,0
266.934,88.8889,0,0
266.934,111.111,0,0
266.934,133.333,0,0
266.934,155.556,0,0
266.934,177.778,0,0
266.934,200,0,0
275.254,0,0,0
275.254,22.2222,0,0
275.254,44.4444,0,0
275.254,66.6667,0,0
275.254,88.8889,0,0
275.254,111.111,0,0
275.254,133.333,0,0
275.254,155.556,0,0
275.254,177.778,0,0
275.254,200,0,0
283.574,0,0,0
283.574,22.2222,0,0
283.574,44.4444,0,0
283.574,66.6667,0,0
283.574,88.8889,0,0
283.574,111.111,0,0
283.574,133.333,0,0
283.574,155.556,0,0
283.574,177.778,0,0
283.574,200,0,0
291.894,0,0,0
291.894,22.2222,0,0
291.894,44.4444,0,0
291.894,66.6667,0,0
291.894,88.8889,0,0
291.894,111.111,0,0
291.894,133.333,0,0
291.894,155.556,0,0
291.894,177.778,0,0
291.894,200,0,0
300.214,0,0,0
300.214,22.2222,0,0
300.214,44.4444,0,0
300.214,66.6667,0,0
300.214,88.8889,0,0
300.214,111.111,0,0
300.214,133.333,0,0
300.214,155.556,0,0
300.214,177.778,0,0
300.214,200,0,0
308.534,0,0,0
308.534,22.2222,0,0
308.534,44.4444,0,0
308.534,66.6667,0,0
308.534,88.8889,0,0
308.534,111.111,0,0
308.534,133.333,0,0
308.534,155.556,0,0
308.534,177.778,0,0
308.534,200,0,0
316.854,0,0,0
316.854,22.2222,0,0
316.854,44.4444,0,0
316.854,66.6667,0,0
316.854,88.8889,0,0
316.854,111.111,0,0
316.854,133.333,0,0
316.854,155.556,0,0
316.854,177.778,0,0
316.854,200,0,0
325.174,0,0,0
325.174,22.2222,0,0
325.174,44.4444,0,0
325.174,66.6667,0,0
325.174,88.8889,0,0
325.174,111.111,0,0
325.174,133.333,0,0
325.174,155.556,0,0
325.174,177.778,0,0
325.174,200,0,0
333.494,0,0,0
333.494,22.2222,0,0
333.494,44.4444,0,0
333.494,66.6667,0,0
333.494,88.8889,0,0
333.494,111.111,0,0
333.494,133.333,0,0
333.494,155.556,0,0
333.494,177.778,0,0
333.494,200,0,0
341.814,0,0,0
341.814,22.2222,0,0
341.814,44.4444,0,0
341.814,66.6667,0,0
341.814,88.8889,0,0
341.814,111.111,0,0
341.814,133.333,0,0
341.814,155.556,0,0
341.814,177.778,0,0
341.814,200,0,0
350.134,0,0,0
350.134,22.2222,0,0
350.134,44.4444,0,0
350.134,66.6667,0,0
350.134,88.8889,0,0
350.134,111.111,0,0
350.134,133.333,0,0
350.134,155.556,0,0
350.134,177.778,0,0
350.134,200,0,0
358.454,0,0,0
358.454,22.2222,0,0
358.454,44.4444,0,0
358.454,66.6667,0,0
358.454,88.8889,0,0
358.454,111.111,0,0
358.454,133.333,0,0
358.454,155.556,0,0
358.454,177.778,0,0
358.454,200,0,0
366.774,0,0,0
366.774,22.2222,0,0
366.774,44.4444,0,0
366.774,66.6667,0,0
366.774,88.8889,0,0
366.774,111.111,0,0
366.774,133.333,0,0
366.774,155.556,0,0
366.774,177.778,0,0
366.774,200,0,0
375.094,0,0,0
375.094,22.2222,0,0
375.094,44.4444,0,0
375.094,66.6667,0,0
375.094,88.8889,0,0
375.094,111.111,0,0
375.094,133.333,0,0
375.094,155.556,0,0
375.094,177.778,0,0
375.094,200,0,0
383.414,0,0,0
383.414,22.2222,0,0
383.414,44.4444,0,0
383.414,66.6667,0,0
383.414,88.8889,0,0
383.414,111.111,0,0
383.414,133.333,0,0
383.414,155.556,0,0
383.414,177.778,0,0
383.414,200,0,0
391.734,0,0,0
391.734,22.2222,0,0
391.734,44.4444,0,0
391.734,66.6667,0,0
391.734,88.8889,0,0
391.734,111.111,0,0
391.734,133.333,0,0
391.734,155.556,0,0
391.734,177.778,0,0
391.734,200,0,0
400.054,0,0,0
400.054,22.2222,0,0
400.054,44.4444,0,0
400.054,66.6667,0,0
400.054,88.8889,0,0
400.054,111.111,0,0
400.054,133.333,0,0
400.054,155.556,0,0
400.054,177.778,0,0
400.054,200,0,0
408.374,0,0,0
408.374,22.2222,0,0
408.374,44.4444,0,0
408.374,66.6667,0,0
408.374,88.8889,0,0
408.374,111.111,0,0
408.374,133.333,0,0
408.374,155.556,0,0
408.374,177.778,0,0
408.374,200,0,0
416.694,0,0,0
416.694,22.2222,0,0
416.694,44.4444,0,0
416.694,66.6667,0,0
416.694,88.8889,0,0
416.694,111.111,0,0
416.694,133.333,0,0
416.694,155.556,0,0
416.694,177.778,0,0
416.694,200,0,0
425.014,0,0,0
425.014,22.2222,0,0
425.014,44.4444,0,0
425.014,66.6667,0,0
425.014,88.8889,0,0
425.014,111.111,0,0
425.014,133.333,0,0
425.014,155.556,0,0
425.014,177.778,0,0
425.014,200,0,0
433.334,0,0,0
433.334,22.2222,0,0
433.334,44.4444,0,0
433.334,66.6667,0,0
433.334,88.8889,0,0
433.334,111.111,0,0
433.334,133.333,0,0
433.334,155.556,0,0
433.334,177.778,0,0
433.334,200,0,0
441.654,0,0,0
441.654,22.2222,0,0
441.654,44.4444,0,0
441.654,66.6667,0,0
441.654,88.8889,0,0
441.654,111.111,0,0
441.654,133.333,0,0
441.654,155.556,0,0
441.654,177.778,0,0
441.654,200,0,0
449.974,0,0,0
449.974,22.2222,0,0
449.974,44.4444,0,0
449.974,66.6667,0,0
449.974,88.8889,0,0
449.974,111.111,0,0
449.974,133.333,0,0
449.974,155.556,0,0
449.974,177.778,0,0
449.974,200,0,0
458.294,0,0,0
458.294,22.2222,0,0
458.294,44.4444,0,0
458.294,66.6667,0,0
458.294,88.8889,0,0
458.294,111.111,0,0
458.294,133.333,0,0
458.294,155.556,0,0
458.294,177.778,0,0
458.294,200,0,0
466.614,0,0,0
466.614,22.2222,0,0
466.614,44.4444,0,0
466.614,66.6667,0,0
466.614,88.8889,0,0
466.614,111.111,0,0
466.614,133.333,0,0
466.614,155.556,0,0
466.614,177.778,0,0
466.614,200,0,0
474.934,0,0,0
474.934,22.2222,0,0
474.934,44.4444,0,0
474.934,66.6667,0,0
